miRNA, drug
hsa-let-7a,155774
hsa-let-7a,157355
hsa-let-7a,157920
hsa-let-7a,157922
hsa-let-7a,158536
hsa-let-7a,162282
hsa-let-7a,162955
hsa-let-7a,163659
hsa-let-7a,164739
hsa-let-7a,169870
hsa-let-7a,176077
hsa-let-7a,189821
hsa-let-7a,193653
hsa-let-7a,208902
hsa-let-7a,210332
hsa-let-7a,216416
hsa-let-7a,219078
hsa-let-7a,222757
hsa-let-7a,236702
hsa-let-7a,247839
hsa-let-7a,259331
hsa-let-7a,287180
hsa-let-7a,439501
hsa-let-7a,440936
hsa-let-7a,441207
hsa-let-7a,441278
hsa-let-7a,441314
hsa-let-7a,441350
hsa-let-7a,442343
hsa-let-7a,442428
hsa-let-7a,443445
hsa-let-7a,443586
hsa-let-7a,443872
hsa-let-7a,443936
hsa-let-7a,443943
hsa-let-7a,443958
hsa-let-7a,444008
hsa-let-7a,444013
hsa-let-7a,444036
hsa-let-7a,444679
hsa-let-7a,444732
hsa-let-7a,445354
hsa-let-7a,445858
hsa-let-7a,446284
hsa-let-7a,446596
hsa-let-7a,446925
hsa-let-7a,449171
hsa-let-7a,450601
hsa-let-7a,452110
hsa-let-7a,492405
hsa-let-7a,516900
hsa-let-7a,625469
hsa-let-7a,636363
hsa-let-7a,636398
hsa-let-7a,637568
hsa-let-7a,644019
hsa-let-7a,644160
hsa-let-7a,656583
hsa-let-7a,656615
hsa-let-7a,656641
hsa-let-7a,667550
hsa-let-7a,689043
hsa-let-7a,708857
hsa-let-7a,737139
hsa-let-7a,969516
hsa-let-7a,1349907
hsa-let-7a,1549000
hsa-let-7a,1738118
hsa-let-7a,2723601
hsa-let-7a,2724354
hsa-let-7a,2724385
hsa-let-7a,2761171
hsa-let-7a,3000226
hsa-let-7a,3000391
hsa-let-7a,3000715
hsa-let-7a,3001028
hsa-let-7a,3001055
hsa-let-7a,3033053
hsa-let-7a,3033637
hsa-let-7a,3034010
hsa-let-7a,3037032
hsa-let-7a,3037234
hsa-let-7a,3037556
hsa-let-7a,3052776
hsa-let-7a,3062316
hsa-let-7a,3081361
hsa-let-7a,3085017
hsa-let-7a,3086011
hsa-let-7a,3086401
hsa-let-7a,3086674
hsa-let-7a,3086677
hsa-let-7a,5084146
hsa-let-7a,5277135
hsa-let-7a,5280360
hsa-let-7a,5280363
hsa-let-7a,5280427
hsa-let-7a,5280489
hsa-let-7a,5280793
